step,train_step_loss,train_acc,train_loss,val_acc,val_loss,alignment_reward,avg_intra_expert_coherence,expert_diversity_e0,expert_diversity_e1,expert_diversity_e2,expert_diversity_e3,expert_diversity_mean,expert_purity_e0,expert_purity_e1,expert_purity_e2,expert_purity_e3,expert_purity_mean,inter_expert_similarity,inter_expert_similarity_e0_e0,inter_expert_similarity_e0_e1,inter_expert_similarity_e0_e2,inter_expert_similarity_e0_e3,inter_expert_similarity_e1_e0,inter_expert_similarity_e1_e1,inter_expert_similarity_e1_e2,inter_expert_similarity_e1_e3,inter_expert_similarity_e2_e0,inter_expert_similarity_e2_e1,inter_expert_similarity_e2_e2,inter_expert_similarity_e2_e3,inter_expert_similarity_e3_e0,inter_expert_similarity_e3_e1,inter_expert_similarity_e3_e2,inter_expert_similarity_e3_e3,intra_expert_coherence_e0,intra_expert_coherence_e1,intra_expert_coherence_e2,intra_expert_coherence_e3,l_conflict,l_conflict_e0,l_conflict_e1,l_conflict_e2,l_conflict_e3,load_cv,load_max_min_ratio,overall_task_conflict_cos,router_conflict_grad_l2,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3,task_acc__glue_cola,task_acc__glue_mrpc,task_acc__glue_rte,task_acc__glue_sst2,task_conflict_t0_t0,task_conflict_t0_t1,task_conflict_t0_t2,task_conflict_t0_t3,task_conflict_t1_t0,task_conflict_t1_t1,task_conflict_t1_t2,task_conflict_t1_t3,task_conflict_t2_t0,task_conflict_t2_t1,task_conflict_t2_t2,task_conflict_t2_t3,task_conflict_t3_t0,task_conflict_t3_t1,task_conflict_t3_t2,task_conflict_t3_t3,task_grad_norm_cv,task_loss__glue_cola,task_loss__glue_mrpc,task_loss__glue_rte,task_loss__glue_sst2,utilization_ratio
100.0,0.53320789989084,0.7358983826465684,0.500478798011089,0.699238303868864,0.5673516434240772,5.578969478607178,0.4148674730889599,0.8376510437627053,0.6316660045334627,0.7083702666075047,5.979470346869725e-11,0.5444218287408669,0.5274180173873901,0.6364837884902954,0.6062959432601929,1.0,0.6925494372844696,0.0022654261618680824,1.0,0.050756084649569516,0.06720891592866077,-0.07359649234065756,0.050756084649569516,1.0,0.08777671812951651,-0.04905525985104006,0.06720891592866077,0.08777671812951651,1.0,-0.0694974095448407,-0.07359649234065756,-0.04905525985104006,-0.0694974095448407,1.0,0.7279334380971444,0.347920608148871,0.5836158461098243,0.0,-5.578969478607178,-3.3277461528778076,-0.1627563238143921,-1.9181387424468994,-0.1703282594680786,1.1100227701636827,587.0623563931496,0.13923104066101297,0.0,0.6016575948550151,0.7061223387718201,0.05523788928985596,0.23743708431720734,0.0012028063647449017,0.7392138063279002,0.8259803921568627,0.4657039711191336,0.7660550458715596,1.0,-0.01643803227434446,0.1750320076586144,0.3295875016844871,-0.01643803227434446,1.0,0.059807402103641806,0.07957773233876006,0.1750320076586144,0.059807402103641806,1.0,0.20781963245491886,0.3295875016844871,0.07957773233876006,0.20781963245491886,1.0,1.0060568283629268,0.5449815023322092,0.41840029254746747,0.7153337962886013,0.5906909825280309,0.5
200.0,0.39283688203431666,0.8168171364863086,0.4000495971477851,0.787959796789004,0.4356401482045983,1.1865290403366089,0.2014094836538682,0.8954606899256004,0.03410527208515205,0.8666706222676256,0.35129560979888347,0.5368830485193153,0.4893515408039093,0.9918575286865234,0.532025158405304,0.8094640970230103,0.7056745812296867,0.0493170366930032,1.0,0.054068093133587444,0.03991621081577649,0.037801345958736764,0.054068093133587444,1.0,0.07891575634499154,0.028037282735043734,0.03991621081577649,0.07891575634499154,1.0,0.05716353116988323,0.037801345958736764,0.028037282735043734,0.05716353116988323,1.0,0.40607226230812626,-0.04386347569263779,0.48520131698922425,-0.041772168989240015,-1.1865290403366089,-0.5544707179069519,-0.38236573338508606,-0.2236207276582718,-0.02607184275984764,1.1873008012771606,76.52123077774685,0.042632078559305626,0.0,0.5557064214119545,0.741568386554718,0.020767025649547577,0.2279735803604126,0.009691014885902405,0.7823585810162992,0.8529411764705882,0.5956678700361011,0.9208715596330275,1.0,-0.01058838796269927,0.030782039637954492,0.14770484537867726,-0.01058838796269927,1.0,0.03062632767243542,0.10607299953520546,0.030782039637954492,0.03062632767243542,1.0,-0.048805352905739556,0.14770484537867726,0.10607299953520546,-0.048805352905739556,1.0,0.528218587621735,0.48863821534478535,0.3511196782287115,0.6815762054667902,0.22122649377810635,0.5
300.0,0.5448447200469673,0.8592990622805863,0.3366291438825885,0.8138341500150348,0.4655791337212334,4.378307819366455,0.2665074750034385,0.9299095027293647,5.979470346869725e-11,0.9131334550970498,0.0,0.46076073947155227,0.4494816064834595,1.0,0.460600346326828,0.0,0.47752048820257187,-0.01212018354877187,1.0,-0.05177144455144174,0.06862718125362169,0.0,-0.05177144455144174,1.0,-0.08957683799481117,0.0,0.06862718125362169,-0.08957683799481117,1.0,0.0,0.0,0.0,0.0,1.0,0.4865988903907697,0.0,0.5794310096229843,0.0,-4.378307819366455,-2.949788808822632,-0.025198614224791527,-1.403320550918579,-0.0,1.1642212476202851,711600363254.5471,0.05585237192322697,0.0,0.5855060067085119,0.7116003632545471,0.0012126610381528735,0.2871871888637543,0.0,0.7890699904122723,0.8627450980392157,0.6895306859205776,0.9139908256880734,1.0,-0.0732939250347216,0.08396236256297504,0.10439859877325608,-0.0732939250347216,1.0,0.09074436236070169,0.06296331305955197,0.08396236256297504,0.09074436236070169,1.0,0.0663395198175987,0.10439859877325608,0.06296331305955197,0.0663395198175987,1.0,0.3595155466335617,0.5763956453566524,0.3821414363725732,0.6518265602213364,0.25195289293437134,0.5
400.0,0.3153145145624876,0.8932624215595928,0.26043307411590616,0.815087986723745,0.4257040737610223,0.5617966055870056,0.3036058052415905,0.890506815672435,0.11221980801576736,0.9276616034974392,0.3144097813412583,0.561199502131725,0.45155903697013855,0.9638316035270691,0.44802093505859375,0.8422830700874329,0.6764236614108086,0.00419641754982891,1.0,0.04913792030162494,0.0703932117828803,-0.0654832334877181,0.04913792030162494,1.0,0.09671088049760958,-0.06242778009987721,0.0703932117828803,0.09671088049760958,1.0,-0.06315249369554606,-0.0654832334877181,-0.06242778009987721,-0.06315249369554606,1.0,0.5264918462525802,-0.07764798132001331,0.63210544233751,0.13347391369628497,-0.5617966055870056,-0.35393261909484863,-0.11058329790830612,-0.09243370592594147,-0.004846977069973946,1.228614476754007,172.90438044329323,0.11009193816887068,0.0,0.5382749916956975,0.7574580311775208,0.006717185024172068,0.2314438819885254,0.004380791448056698,0.8063279002876318,0.8480392156862745,0.6931407942238267,0.9128440366972477,1.0,0.14617265200684115,0.042433361199966296,0.1379854371992034,0.14617265200684115,1.0,0.10418703140328467,0.12918093975133443,0.042433361199966296,0.10418703140328467,1.0,0.10059220745259409,0.1379854371992034,0.12918093975133443,0.10059220745259409,1.0,0.3342929969366522,0.47261559928171754,0.3913479141699962,0.6022529091548037,0.23659987243757183,0.5
500.0,0.20897600543685257,0.9281466328220993,0.1656854691579266,0.8387254623094462,0.4127888002767942,0.8645599484443665,0.13318221937893582,0.9467388649833005,0.013249822857870098,0.9399721216123718,0.4701770905351068,0.5925344749971624,0.34354960918426514,0.9973502159118652,0.4326114058494568,0.642776608467102,0.6040719598531723,0.02445588016439765,1.0,0.030207369616966784,0.011151276204271785,-0.006412360195349227,0.030207369616966784,1.0,0.07927480224198767,-0.0016160627883100918,0.011151276204271785,0.07927480224198767,1.0,0.034130255906818986,-0.006412360195349227,-0.0016160627883100918,0.034130255906818986,1.0,0.1297425463317006,-0.09308478188129339,0.42794017683137797,0.06813093623395809,-0.8645599484443665,-0.6153585314750671,-0.08823106437921524,-0.16097033023834229,-0.0,1.3012812496758996,300.55877062525013,0.07508024198443373,0.0,0.48713945952745585,0.7969993352890015,0.0026517254300415516,0.19516971707344055,0.0051790387369692326,0.8370086289549377,0.875,0.7220216606498195,0.9208715596330275,1.0,0.08046179389086833,0.0002227901174651932,0.08221862099886273,0.08046179389086833,1.0,0.11608475638400463,0.11291078214760986,0.0002227901174651932,0.11608475638400463,1.0,0.05858270836779165,0.08221862099886273,0.11291078214760986,0.05858270836779165,1.0,0.3952815671376043,0.39592976008201736,0.35268267855728763,0.6851775059821429,0.21736525648572882,0.5
600.0,0.16488580373697914,0.955799961876865,0.13628543661825987,0.8330659337441113,0.48940876413495443,1.8660249710083008,-0.009220351143063535,0.8038020204521767,0.0764569026526604,0.8662585518372906,5.979470346869725e-11,0.4366293687504806,0.44304582476615906,0.9812368154525757,0.5148106217384338,1.0,0.7347733154892921,0.011117829785974248,1.0,0.04373407045215003,0.03967269847765558,-0.008441766923688126,0.04373407045215003,1.0,0.08712205998884001,-0.027234949592443856,0.03967269847765558,0.08712205998884001,1.0,-0.06814513368666814,-0.008441766923688126,-0.027234949592443856,-0.06814513368666814,1.0,-0.010391997292108554,-0.1077958040617521,0.08130639678160652,0.0,-1.8660249710083008,-1.5532042980194092,-0.012858877889811993,-0.27512505650520325,-0.024836817756295204,1.3235172839740177,309.3151441636244,0.053294949397267276,0.0,0.4672918911163624,0.811136782169342,0.013646953739225864,0.17259402573108673,0.0026223636232316494,0.8302972195589645,0.875,0.7003610108303249,0.926605504587156,1.0,0.10913200712163663,-0.03805371178667856,0.08184648751330106,0.10913200712163663,1.0,0.06249280896834412,0.03795934923485342,-0.03805371178667856,0.06249280896834412,1.0,0.06639275533214696,0.08184648751330106,0.03795934923485342,0.06639275533214696,1.0,0.43288537539850164,0.4865400421212574,0.40923598473996087,0.8507264539914787,0.2111325756871208,0.5
700.0,0.15777197494753636,0.9615835705744251,0.11464568889604854,0.8391894626949956,0.5131634133081622,0.377849817276001,0.22250969806161414,0.885508569895469,0.03682665836420422,0.9459641691346177,5.979470346869725e-11,0.46707484936352134,0.4137352406978607,0.9910641312599182,0.415656715631485,1.0,0.705114021897316,-0.006008491337498028,1.0,0.05437130228873816,0.0393686656468794,-0.07030043997402438,0.05437130228873816,1.0,0.08157291781702503,-0.09600201256270631,0.0393686656468794,0.08157291781702503,1.0,-0.04506138124090007,-0.07030043997402438,-0.09600201256270631,-0.04506138124090007,1.0,0.32756913428728446,-0.01240026517311097,0.574869923132283,0.0,-0.377849817276001,-0.23025941848754883,-0.019974641501903534,-0.0772489607334137,-0.05036681145429611,1.306815505027771,347.59814602685407,0.08938022783468287,0.0,0.4832908933896285,0.7995659112930298,0.0041926344856619835,0.19394119083881378,0.0023002594243735075,0.8245445829338447,0.8651960784313726,0.7472924187725631,0.9197247706422018,1.0,0.0443622321857172,0.08386511882170752,0.06929595648998743,0.0443622321857172,1.0,0.05619939773375913,0.09000239108785198,0.08386511882170752,0.05619939773375913,1.0,0.19255627068907394,0.06929595648998743,0.09000239108785198,0.19255627068907394,1.0,0.5505305874614648,0.48758350143638374,0.4215092118344425,0.911042126073014,0.23251881388880843,0.5
800.0,0.09141115326201543,0.9698564965661751,0.09539123591029636,0.839068922649234,0.5179679225825746,0.6048486232757568,0.16123972347006957,0.855364482830972,0.0,0.9726704090091391,5.979470346869725e-11,0.45700872297497647,0.40862706303596497,0.0,0.31443464756011963,1.0,0.43076542764902115,0.018806968014570154,1.0,0.0,0.03776562053064757,0.011069835107880038,0.0,1.0,0.0,0.0,0.03776562053064757,0.0,1.0,0.06400635244889331,0.011069835107880038,0.0,0.06400635244889331,1.0,0.24187998612541853,0.0,0.40307890775485977,0.0,-0.6048486232757568,-0.442356139421463,-0.002601795829832554,-0.15931978821754456,-0.000570907024666667,1.2732902983696157,1453.593113623454,0.057252250680729665,0.0,0.500226640517895,0.7791777849197388,0.0007458972395397723,0.21954002976417542,0.0005360356881283224,0.8370086289549377,0.8553921568627451,0.7292418772563177,0.9346330275229358,1.0,-0.052667393503664575,0.01924910581318642,0.10342476179813612,-0.052667393503664575,1.0,0.053730782052591124,0.09326999234816515,0.01924910581318642,0.053730782052591124,1.0,0.1265062555759637,0.10342476179813612,0.09326999234816515,0.1265062555759637,1.0,0.5435039568268251,0.4218136882116094,0.5221022026887975,0.9430644364643191,0.18489136296557263,0.5
900.0,0.1332528669590829,0.9729438876821134,0.0873636993251013,0.8397904779151045,0.6107329489422956,1.062329649925232,0.22666044947834757,0.8356091797459473,5.979470346869725e-11,0.9377433124546396,0.4964035418107021,0.567439008517771,0.4458598494529724,1.0,0.42905348539352417,0.5498871803283691,0.6062001287937164,0.008586241637251753,1.0,0.056279693644521504,0.028395272484106292,-0.04104994960931303,0.056279693644521504,1.0,0.08273070990057754,-0.061399267418591655,0.028395272484106292,0.08273070990057754,1.0,-0.013439009177790114,-0.04104994960931303,-0.061399267418591655,-0.013439009177790114,1.0,0.3704054663153708,0.0,0.47714201485722824,0.059094316740791214,-1.062329649925232,-0.8587573170661926,-0.021182779222726822,-0.18213219940662384,-0.0002573460806161165,1.3964892738740338,512.9171623494177,0.0431284598905208,0.0,0.40257417334960055,0.8459712862968445,0.0016493331640958786,0.14783258736133575,0.004546628333628178,0.8322147651006712,0.8651960784313726,0.7328519855595668,0.9288990825688074,1.0,-0.03176750097876036,0.0581049866238445,0.07550072524670004,-0.03176750097876036,1.0,-0.014374013986078288,0.05821784704457634,0.0581049866238445,-0.014374013986078288,1.0,0.11308871539284254,0.07550072524670004,0.05821784704457634,0.11308871539284254,1.0,0.5709212894695119,0.587492653840029,0.4798004538513338,1.1530937826798036,0.22254490539801605,0.5
1000.0,0.09245867068239022,0.9631705489182905,0.10528513312288562,0.8298058504440962,0.7076395586374278,0.3259904384613037,0.19347823331027592,0.8805585652519374,5.979470346869725e-11,0.9116492448241821,0.5216892049930003,0.5784742537822286,0.4262221157550812,1.0,0.37987667322158813,0.5315431356430054,0.5844104811549187,0.02136536242711387,1.0,-0.030712807981763436,0.05090041601084216,0.07467126214115696,-0.030712807981763436,1.0,-0.013518575703445137,-0.013550090395661985,0.05090041601084216,-0.013518575703445137,1.0,0.06040197049155468,0.07467126214115696,-0.013550090395661985,0.06040197049155468,1.0,0.4675894290001885,0.0,0.5885890091501974,-0.2822655049092821,-0.3259904384613037,-0.25975021719932556,-0.012890554964542389,-0.04430564492940903,-0.009044014848768711,1.354281937055126,485.0095160838779,0.049284550952384015,0.0,0.42826609817835,0.826899528503418,0.001704914029687643,0.15664216876029968,0.01475352793931961,0.8111217641418984,0.8627450980392157,0.7256317689530686,0.9197247706422018,1.0,-0.028634266472295562,0.004802415479479275,0.12427053016291502,-0.028634266472295562,1.0,0.07208406898106123,0.0590592469032367,0.004802415479479275,0.07208406898106123,1.0,0.0641253106599074,0.12427053016291502,0.0590592469032367,0.0641253106599074,1.0,0.6831788891670248,0.6633539073541687,0.5777516582628521,1.3441069885985506,0.24534568033413962,0.5
