step,train_step_loss,train_acc,train_loss,val_acc,val_loss,alignment_reward,avg_intra_expert_coherence,expert_diversity_e0,expert_diversity_e1,expert_diversity_e2,expert_diversity_e3,expert_diversity_mean,expert_purity_e0,expert_purity_e1,expert_purity_e2,expert_purity_e3,expert_purity_mean,inter_expert_similarity,inter_expert_similarity_e0_e0,inter_expert_similarity_e0_e1,inter_expert_similarity_e0_e2,inter_expert_similarity_e0_e3,inter_expert_similarity_e1_e0,inter_expert_similarity_e1_e1,inter_expert_similarity_e1_e2,inter_expert_similarity_e1_e3,inter_expert_similarity_e2_e0,inter_expert_similarity_e2_e1,inter_expert_similarity_e2_e2,inter_expert_similarity_e2_e3,inter_expert_similarity_e3_e0,inter_expert_similarity_e3_e1,inter_expert_similarity_e3_e2,inter_expert_similarity_e3_e3,intra_expert_coherence_e0,intra_expert_coherence_e1,intra_expert_coherence_e2,intra_expert_coherence_e3,l_conflict,l_conflict_e0,l_conflict_e1,l_conflict_e2,l_conflict_e3,load_cv,load_max_min_ratio,overall_task_conflict_cos,router_conflict_grad_l2,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3,task_acc__glue_rte,task_conflict_t0_t0,task_grad_norm_cv,task_loss__glue_rte,utilization_ratio
50.0,0.6607485413551331,0.6196787148594377,0.6588607802605018,0.5848375451263538,0.6670264386468463,3.712172031402588,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.008640661668978531,1.0,-0.030421188546318468,-0.03532937520740264,-0.021970801152676116,-0.030421188546318468,1.0,0.06319732421074563,0.04613764583035609,-0.03532937520740264,0.06319732421074563,1.0,0.030230364879166707,-0.021970801152676116,0.04613764583035609,0.030230364879166707,1.0,1.0,1.0,1.0,1.0,-3.712172031402588,-0.2738293409347534,-2.6178297996520996,-0.6921635866165161,-0.1283491998910904,1.1507009267807007,21.44149704513509,1.0,0.0,0.5660116526193998,0.034486040472984314,0.7394323348999023,0.17436887323856354,0.05171274021267891,0.5848375451263538,1.0,0.0,0.6670264386468463,0.5
100.0,0.7635663151741028,0.7469879518072289,0.5485807283375508,0.6823104693140795,0.600751094520092,82.89946746826172,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.01603159802337904,1.0,0.08328518810180659,-0.08494385451598674,0.0,0.08328518810180659,1.0,-0.09453092172609409,0.0,-0.08494385451598674,-0.09453092172609409,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-82.89946746826172,-2.7730491161346436,-68.04280090332031,-12.08361530303955,-0.0,1.3113809413540924,77.38321410826033,1.0,0.0,0.3886614263272888,0.03518533706665039,0.8112374544143677,0.1430937796831131,0.010483377613127232,0.6823104693140795,1.0,0.0,0.600751094520092,0.5
150.0,0.5778076350688934,0.7365461847389558,0.523028704418968,0.6859205776173285,0.582732543349266,2.9892916679382324,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0021961959759067957,1.0,-0.027329422321018336,-0.03065699575658461,0.0,-0.027329422321018336,1.0,0.07116359393304372,0.0,-0.03065699575658461,0.07116359393304372,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-2.9892916679382324,-0.5453470945358276,-1.7177574634552002,-0.47798097133636475,-0.248206228017807,0.9601854038459544,48.24179529953377,1.0,0.0,0.5787229830607611,0.18077588081359863,0.6508830785751343,0.1548488289117813,0.01349209900945425,0.6859205776173285,1.0,0.0,0.582732543349266,0.75
200.0,0.4085656702518463,0.8096385542168675,0.4391711594202579,0.6895306859205776,0.6029434725642204,11.215302467346191,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.009456018298467664,1.0,0.03915824617115801,-0.06532890331433047,0.0,0.03915824617115801,1.0,-0.030565452647633523,0.0,-0.06532890331433047,-0.030565452647633523,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-11.215302467346191,-0.556533694267273,-6.766448497772217,-3.892320394515991,-0.0,1.050444239325018,75.07522890593536,1.0,0.0,0.49323074137691125,0.04611872881650925,0.6689119935035706,0.27605950832366943,0.008909889496862888,0.6895306859205776,1.0,0.0,0.6029434725642204,0.5
250.0,0.5431508421897888,0.7694779116465863,0.4739936762035657,0.7111913357400722,0.5791215772430102,4.949503421783447,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.03807980469592953,1.0,0.07169943799810477,0.068268478218692,0.0,0.07169943799810477,1.0,0.0885109119587804,0.0,0.068268478218692,0.0885109119587804,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-4.949503421783447,-0.58367520570755,-4.184262275695801,-0.1815660297870636,-0.0,1.3374783597873663,1777.5336801017174,1.0,0.0,0.3874041108878511,0.07468094676733017,0.8257154822349548,0.0991390123963356,0.0004645287408493459,0.7111913357400722,1.0,0.0,0.5791215772430102,0.25
300.0,0.4484862685203552,0.8465863453815261,0.4224671692133714,0.7148014440433214,0.601777201725377,7.569904804229736,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.016142692570742096,1.0,0.03415606251560709,-0.06032130347099943,0.0,0.03415606251560709,1.0,-0.07069091446906026,0.0,-0.06032130347099943,-0.07069091446906026,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-7.569904804229736,-1.362066388130188,-4.6741132736206055,-1.5337250232696533,-0.0,0.9824623465538025,656522452831.2683,1.0,0.0,0.6023189548120602,0.14626409113407135,0.6565224528312683,0.19721348583698273,0.0,0.7148014440433214,1.0,0.0,0.601777201725377,0.75
350.0,0.27273227274417877,0.906425702811245,0.2561684987889842,0.740072202166065,0.6049959407084518,4.693881988525391,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.004910531134245552,1.0,0.07854649676467701,0.0747523004799238,-0.07329709747150279,0.07854649676467701,1.0,0.08846580414416433,-0.0744576568833097,0.0747523004799238,0.08846580414416433,1.0,-0.06454666022847935,-0.07329709747150279,-0.0744576568833097,-0.06454666022847935,1.0,1.0,1.0,1.0,1.0,-4.693881988525391,-0.23439455032348633,-3.37872052192688,-1.0807671546936035,-0.0,1.055549853378552,45.22814780241464,1.0,0.0,0.432359698016721,0.03675956279039383,0.6707171201705933,0.2776937484741211,0.014829639345407486,0.740072202166065,1.0,0.0,0.6049959407084518,0.5
400.0,0.5276768356561661,0.9200803212851406,0.2284620789715495,0.7472924187725631,0.6349338535219431,3.8881497383117676,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.005337895650515072,1.0,-0.048673105198413766,-0.06565114200835985,-0.059412614190463,-0.048673105198413766,1.0,0.059663194717165906,0.05179077539314409,-0.06565114200835985,0.059663194717165906,1.0,0.030255517383836184,-0.059412614190463,0.05179077539314409,0.030255517383836184,1.0,1.0,1.0,1.0,1.0,-3.8881497383117676,-0.07547635585069656,-2.2263832092285156,-1.4712806940078735,-0.11500942707061768,0.9754436612129211,27.261587060083446,1.0,0.0,0.41262589508015324,0.027583133429288864,0.6078190207481384,0.3423020541667938,0.02229580469429493,0.7472924187725631,1.0,0.0,0.6349338535219431,0.5
450.0,0.4646018147468567,0.9333333333333333,0.18933788826927925,0.7617328519855595,0.5609914819813437,2.4023423194885254,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.06493843933846735,1.0,0.052128062557497454,0.06880802719076237,0.04998592643516601,0.052128062557497454,1.0,0.0979346497905305,0.053843290694046315,0.06880802719076237,0.0979346497905305,1.0,0.06693067936280145,0.04998592643516601,0.053843290694046315,0.06693067936280145,1.0,1.0,1.0,1.0,1.0,-2.4023423194885254,-0.12289869785308838,-1.571419358253479,-0.5844054222106934,-0.12361868470907211,1.1346636494793683,22.68521773497505,1.0,0.0,0.38031999987385334,0.03902791813015938,0.7270120978355408,0.20191211998462677,0.03204783424735069,0.7617328519855595,1.0,0.0,0.5609914819813437,0.5
500.0,0.045324258506298065,0.944578313253012,0.1874845225552025,0.7472924187725631,0.9754294685553759,0.9199987053871155,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.025173102327674446,1.0,0.06761193941839626,-0.05793387080089427,-0.05733255128008694,0.06761193941839626,1.0,-0.10222240744149635,-0.06784810724311141,-0.05793387080089427,-0.10222240744149635,1.0,0.06668638338114606,-0.05733255128008694,-0.06784810724311141,0.06668638338114606,1.0,1.0,1.0,1.0,1.0,-0.9199987053871155,-0.015454347245395184,-0.8077976107597351,-0.0967467725276947,-0.0,1.0199282777266667,299.4157773135847,1.0,0.0,0.3040719363663601,0.020783331245183945,0.6154767870903015,0.36168429255485535,0.002055592369288206,0.7472924187725631,1.0,0.0,0.9754294685553759,0.5
