step,train_step_loss,train_acc,train_loss,val_acc,val_loss,alignment_reward,avg_intra_expert_coherence,expert_diversity_e0,expert_diversity_e1,expert_diversity_e2,expert_diversity_e3,expert_diversity_mean,expert_purity_e0,expert_purity_e1,expert_purity_e2,expert_purity_e3,expert_purity_mean,inter_expert_similarity,inter_expert_similarity_e0_e0,inter_expert_similarity_e0_e1,inter_expert_similarity_e0_e2,inter_expert_similarity_e0_e3,inter_expert_similarity_e1_e0,inter_expert_similarity_e1_e1,inter_expert_similarity_e1_e2,inter_expert_similarity_e1_e3,inter_expert_similarity_e2_e0,inter_expert_similarity_e2_e1,inter_expert_similarity_e2_e2,inter_expert_similarity_e2_e3,inter_expert_similarity_e3_e0,inter_expert_similarity_e3_e1,inter_expert_similarity_e3_e2,inter_expert_similarity_e3_e3,intra_expert_coherence_e0,intra_expert_coherence_e1,intra_expert_coherence_e2,intra_expert_coherence_e3,l_conflict,l_conflict_e0,l_conflict_e1,l_conflict_e2,l_conflict_e3,load_cv,load_max_min_ratio,overall_task_conflict_cos,router_conflict_grad_l2,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3,task_acc__glue_sst2,task_conflict_t0_t0,task_grad_norm_cv,task_loss__glue_sst2,utilization_ratio
50.0,0.519793838262558,0.8591152019002375,0.3488675225083661,0.8577981651376146,0.34715706672180785,29.394994735717773,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.002040588613225675,1.0,0.001292760338856507,-0.0047946231035460255,-0.004863290456264016,0.001292760338856507,1.0,-0.009639762096315804,0.005357867987381922,-0.0047946231035460255,-0.009639762096315804,1.0,0.0004035156505333665,-0.004863290456264016,0.005357867987381922,0.0004035156505333665,1.0,1.0,1.0,1.0,1.0,-29.394994735717773,-2.523841142654419,-20.506898880004883,-0.25332847237586975,-6.110926628112793,1.1150325536727905,17.935425617386166,1.0,0.0,0.5821364981318833,0.04181605949997902,0.7198483943939209,0.04013556241989136,0.19820000231266022,0.8577981651376146,1.0,0.0,0.34715706672180785,0.5
100.0,0.17967449873685837,0.9046912114014252,0.26861186338601867,0.8944954128440367,0.26520107261497866,1.3615745306015015,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.004919307309057989,1.0,0.0,0.0,0.0,0.0,1.0,0.029515843854347933,0.0,0.0,0.029515843854347933,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-1.3615745306015015,-0.03467301279306412,-0.9746903777122498,-0.3522111475467682,-0.0,1.1055251234143826,189.29751016751675,1.0,0.0,0.5635950431364392,0.007303740829229355,0.6766314506530762,0.3124904930591583,0.003574433969333768,0.8944954128440367,1.0,0.0,0.26520107261497866,0.5
150.0,0.2875871080905199,0.912856294536817,0.24603903333649854,0.9071100917431193,0.25523789538578556,8.0530366897583,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.008600573450214907,1.0,0.0,0.0,0.0,0.0,1.0,0.051603440701289444,0.0,0.0,0.051603440701289444,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-8.0530366897583,-0.002322929911315441,-6.137460708618164,-1.9051718711853027,-0.008081316016614437,1.2529191381738516,276.8526707061045,1.0,0.0,0.503283828496933,0.002780753653496504,0.7698590755462646,0.2230287492275238,0.0043312362395226955,0.9071100917431193,1.0,0.0,0.25523789538578556,0.5
200.0,0.21119842492043972,0.9122624703087886,0.22285423754336148,0.9174311926605505,0.220207256434316,3.490229606628418,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.011228799292462127,1.0,0.0,0.0,0.0,0.0,1.0,0.010757928473771283,0.023129359385121367,0.0,0.010757928473771283,1.0,0.033485507895880104,0.0,0.023129359385121367,0.033485507895880104,1.0,1.0,1.0,1.0,1.0,-3.490229606628418,-0.0,-2.3664493560791016,-0.5214680433273315,-0.6023121476173401,1.2966890269557882,408.3311370358296,1.0,0.0,0.45265495695105384,0.0019747286569327116,0.8063431978225708,0.12572510540485382,0.06595683842897415,0.9174311926605505,1.0,0.0,0.220207256434316,0.5
250.0,0.3778299167752266,0.9220605700712589,0.25355942088407146,0.9128440366972477,0.27185723150402985,4.034203052520752,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.019595812678765413,1.0,0.03518894314839262,-0.07249231683955158,-0.07565769186003497,0.03518894314839262,1.0,-0.061082308359180375,-0.03849155014754427,-0.07249231683955158,-0.061082308359180375,1.0,0.0949600479853261,-0.07565769186003497,-0.03849155014754427,0.0949600479853261,1.0,1.0,1.0,1.0,1.0,-4.034203052520752,-0.11802120506763458,-3.2323837280273438,-0.311005175113678,-0.3727929890155792,1.3511446714401245,39.7944272414865,1.0,0.0,0.40714246540441423,0.020864535123109818,0.8302922248840332,0.021979520097374916,0.1268637776374817,0.9128440366972477,1.0,0.0,0.27185723150402985,0.5
300.0,0.4786232188344002,0.9253266033254157,0.2344372420734339,0.9254587155963303,0.23851169738601047,16.50100326538086,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.016434789662387313,1.0,0.061468468466306124,0.0,-0.08445330855968229,0.061468468466306124,1.0,0.0,-0.0756238978809477,0.0,0.0,1.0,0.0,-0.08445330855968229,-0.0756238978809477,0.0,1.0,1.0,1.0,1.0,1.0,-16.50100326538086,-1.7158983945846558,-14.482230186462402,-0.3028745651245117,-0.0,1.4901717901229858,59.70524658375448,1.0,0.0,0.3240595243939566,0.06498467922210693,0.8944558501243591,0.014981193467974663,0.02557823434472084,0.9254587155963303,1.0,0.0,0.23851169738601047,0.25
350.0,0.31305649783462286,0.9268111638954869,0.23326856107865804,0.9197247706422018,0.242195949644189,6.007302761077881,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.013693851951566555,1.0,-0.04347502082474142,-0.08192648520224584,0.0,-0.04347502082474142,1.0,0.04323839431758792,0.0,-0.08192648520224584,0.04323839431758792,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-6.007302761077881,-0.08311063796281815,-5.506680965423584,-0.4175112545490265,-0.0,1.5930123793504916,6425.013246422908,1.0,0.0,0.2118746926068166,0.004321146756410599,0.9387087821960449,0.05682378634810448,0.00014610223297495395,0.9197247706422018,1.0,0.0,0.242195949644189,0.25
400.0,0.037553198635578156,0.9318586698337292,0.19584260233611558,0.930045871559633,0.22289365929847751,0.7998725771903992,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.005569862407670237,1.0,0.0,0.0,0.0,0.0,1.0,0.033419174446021424,0.0,0.0,0.033419174446021424,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.7998725771903992,-0.006205148529261351,-0.7477903962135315,-0.04587702080607414,-0.0,1.5729787095176404,12410.601842932861,1.0,0.0,0.2392110704282008,7.489337440347299e-05,0.9294718503952026,0.06813294440507889,0.002320211147889495,0.930045871559633,1.0,0.0,0.22289365929847751,0.25
450.0,0.0905649159103632,0.9403206650831354,0.1763201718342506,0.9277522935779816,0.19113830703903328,1.7528272867202759,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.00425541963830757,1.0,0.0,0.0,0.0,0.0,1.0,0.02553251782984542,0.0,0.0,0.02553251782984542,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-1.7528272867202759,-0.0030193806160241365,-1.4209169149398804,-0.32889097929000854,-0.0,1.4340174040835867,9738.367729322757,1.0,0.0,0.36698498187261985,8.866372081683949e-05,0.8634399175643921,0.13628138601779938,0.00018980621825903654,0.9277522935779816,1.0,0.0,0.19113830703903328,0.5
500.0,0.1785234957933426,0.9372030878859857,0.2150645114942133,0.9472477064220184,0.20614912136965854,3.75774884223938,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.031607870518091136,1.0,0.07200473582250744,0.06900668529661554,0.0,0.07200473582250744,1.0,0.048635801989423855,0.0,0.06900668529661554,0.048635801989423855,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-3.75774884223938,-0.012147915549576283,-2.6984004974365234,-1.0472004413604736,-0.0,1.3474881649017334,820027351379.3945,1.0,0.0,0.3967306265316972,0.0025472715497016907,0.8200273513793945,0.177425354719162,0.0,0.9472477064220184,1.0,0.0,0.20614912136965854,0.5
550.0,0.03543704282492399,0.9392814726840855,0.21251907251938965,0.9243119266055045,0.2799517903286456,0.4979060888290405,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.008154368728814145,1.0,0.0,0.0,0.0,0.0,1.0,0.048926212372884866,0.0,0.0,0.048926212372884866,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.4979060888290405,-0.0011042755795642734,-0.3665206730365753,-0.13028113543987274,-0.0,1.3973673582077026,2059.427021582344,1.0,0.0,0.37960872286503466,0.0006969966925680637,0.8453256487846375,0.15356692671775818,0.00041046642581932247,0.9243119266055045,1.0,0.0,0.2799517903286456,0.5
600.0,0.5261409878730774,0.9259204275534442,0.26057474297911565,0.9323394495412844,0.2326564472168684,11.685189247131348,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.009745257591192406,1.0,0.0,0.0,0.0,0.0,1.0,0.05847154554715443,0.0,0.0,0.05847154554715443,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-11.685189247131348,-0.0,-9.329763412475586,-2.3554255962371826,-0.0,1.4213530515011488,857144773006.4392,1.0,0.0,0.3850304383203524,0.00015254855679813772,0.8571447730064392,0.14270280301570892,0.0,0.9323394495412844,1.0,0.0,0.2326564472168684,0.5
