step,train_step_loss,train_acc,train_loss,val_acc,val_loss,alignment_reward,avg_intra_expert_coherence,expert_diversity_e0,expert_diversity_e1,expert_diversity_e2,expert_diversity_e3,expert_diversity_mean,expert_purity_e0,expert_purity_e1,expert_purity_e2,expert_purity_e3,expert_purity_mean,inter_expert_similarity,inter_expert_similarity_e0_e0,inter_expert_similarity_e0_e1,inter_expert_similarity_e0_e2,inter_expert_similarity_e0_e3,inter_expert_similarity_e1_e0,inter_expert_similarity_e1_e1,inter_expert_similarity_e1_e2,inter_expert_similarity_e1_e3,inter_expert_similarity_e2_e0,inter_expert_similarity_e2_e1,inter_expert_similarity_e2_e2,inter_expert_similarity_e2_e3,inter_expert_similarity_e3_e0,inter_expert_similarity_e3_e1,inter_expert_similarity_e3_e2,inter_expert_similarity_e3_e3,intra_expert_coherence_e0,intra_expert_coherence_e1,intra_expert_coherence_e2,intra_expert_coherence_e3,l_conflict,l_conflict_e0,l_conflict_e1,l_conflict_e2,l_conflict_e3,load_cv,load_max_min_ratio,overall_task_conflict_cos,router_conflict_grad_l2,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3,task_acc__glue_mrpc,task_conflict_t0_t0,task_grad_norm_cv,task_loss__glue_mrpc,utilization_ratio
50.0,0.2597203925251961,0.7846237731733915,0.47999386461856575,0.7818627450980392,0.474539233228335,24.663532257080078,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.01279647946949071,1.0,-0.09180756834182645,0.0,0.028650460598793472,-0.09180756834182645,1.0,0.0,-0.013621769073911291,0.0,0.0,1.0,0.0,0.028650460598793472,-0.013621769073911291,0.0,1.0,1.0,1.0,1.0,1.0,-24.663532257080078,-0.0,-21.45098304748535,-0.3701587915420532,-2.8423900604248047,1.1199565076776157,82.05372318301893,1.0,0.0,0.4654242355449527,0.013232913799583912,0.6950569152832031,0.008470754139125347,0.28323933482170105,0.7818627450980392,1.0,0.0,0.474539233228335,0.5
100.0,0.3328400254249573,0.8863140676117776,0.276184630005256,0.8774509803921569,0.3062930962500664,21.687496185302734,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.013864288960165857,1.0,-0.019120743397434206,-0.09635527963642503,0.10370589756800991,-0.019120743397434206,1.0,0.022373106205709693,-0.007029684246633049,-0.09635527963642503,0.022373106205709693,1.0,-0.08675903025422246,0.10370589756800991,-0.007029684246633049,-0.08675903025422246,1.0,1.0,1.0,1.0,1.0,-21.687496185302734,-0.0,-14.149283409118652,-0.0,-7.538212776184082,1.2897638004595877,310.07212151203544,1.0,0.0,0.34873828584072636,0.002564692636951804,0.7952396869659424,0.020418643951416016,0.18177683651447296,0.8774509803921569,1.0,0.0,0.3062930962500664,0.5
150.0,0.4379710555076599,0.8784078516902945,0.3098276714429907,0.8333333333333334,0.3479089934665423,20.1455078125,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.011796051809718154,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07077631085830892,0.0,0.0,1.0,0.0,0.0,0.07077631085830892,0.0,1.0,1.0,1.0,1.0,1.0,-20.1455078125,-0.0,-15.649041175842285,-0.0,-4.496467113494873,1.2929152250289917,790147900581.3599,1.0,0.0,0.4733695183314529,0.0011118875117972493,0.7901479005813599,0.0,0.208740234375,0.8333333333333334,1.0,0.0,0.3479089934665423,0.5
200.0,0.4965766444802284,0.8696837513631407,0.2995869903622762,0.821078431372549,0.39857541776906985,25.010950088500977,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.01594300116366375,1.0,0.0,0.0,0.0,0.0,1.0,-0.11298608272522266,0.10842684453225426,0.0,-0.11298608272522266,1.0,-0.09109876878901411,0.0,0.10842684453225426,-0.09109876878901411,1.0,1.0,1.0,1.0,1.0,-25.010950088500977,-0.0,-18.822246551513672,-0.9029576182365417,-5.285745620727539,1.365236520767212,838031768798.8281,1.0,0.0,0.3709932787745607,0.0,0.8380317687988281,0.06434696912765503,0.09762125462293625,0.821078431372549,1.0,0.0,0.39857541776906985,0.25
250.0,0.0785844074562192,0.9321155943293348,0.18387685284706887,0.8799019607843137,0.35049711914661413,0.4969295263290405,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.024000872650191598,1.0,-0.015497394795913241,-0.10201899598203845,-0.05080858761125468,-0.015497394795913241,1.0,-0.0054580718469188685,0.005083569546284917,-0.10201899598203845,-0.0054580718469188685,1.0,0.02469424478869075,-0.05080858761125468,0.005083569546284917,0.02469424478869075,1.0,1.0,1.0,1.0,1.0,-0.4969295263290405,-0.0009653663728386164,-0.41939565539360046,-0.018069341778755188,-0.05849915370345116,1.3159915993208646,92.35719141811974,1.0,0.0,0.31256022698738994,0.00880152266472578,0.8128839135169983,0.03346792981028557,0.14484655857086182,0.8799019607843137,1.0,0.0,0.35049711914661413,0.5
300.0,0.17927369475364685,0.9424754634678298,0.15867617195877043,0.8774509803921569,0.34466917959686655,2.794905185699463,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.0073442576504776065,1.0,0.04438341779273335,-0.10498371523364369,0.09863650632924305,0.04438341779273335,1.0,-0.0701773759783938,0.05321194505359061,-0.10498371523364369,-0.0701773759783938,1.0,-0.06513632386639516,0.09863650632924305,0.05321194505359061,-0.06513632386639516,1.0,1.0,1.0,1.0,1.0,-2.794905185699463,-0.0,-1.6051045656204224,-0.03604407235980034,-1.1537563800811768,1.364650807657886,140.28048898385802,1.0,0.0,0.30510517370467094,0.00595826143398881,0.8358278274536133,0.03215799480676651,0.12605583667755127,0.8774509803921569,1.0,0.0,0.34466917959686655,0.5
350.0,0.17430288530886173,0.9460196292257361,0.14916822551142261,0.8823529411764706,0.3184722861669098,7.958534240722656,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.08719097799712704,1.0,0.0816302911191809,0.05797464562380465,0.0772343312617611,0.0816302911191809,1.0,0.12940092967192776,0.10307430529369008,0.05797464562380465,0.12940092967192776,1.0,0.07383136501239775,0.0772343312617611,0.10307430529369008,0.07383136501239775,1.0,1.0,1.0,1.0,1.0,-7.958534240722656,-0.0,-7.170440196990967,-0.2202794998884201,-0.5678141117095947,1.1459543530995424,32.62057609235603,1.0,0.0,0.3434290044447955,0.031646814197301865,0.72728431224823,0.022295262664556503,0.2187737673521042,0.8823529411764706,1.0,0.0,0.3184722861669098,0.5
400.0,0.18992464244365692,0.9659214830970556,0.09566868280931173,0.8921568627450981,0.32792372146818355,6.685641765594482,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.01734414808161736,1.0,-0.07594045907687924,-0.0949015385817787,0.07994186159308705,-0.07594045907687924,1.0,0.10207436910787342,-0.061584560272737184,-0.0949015385817787,0.10207436910787342,1.0,-0.053654561259269505,0.07994186159308705,-0.061584560272737184,-0.053654561259269505,1.0,1.0,1.0,1.0,1.0,-6.685641765594482,-0.5571754574775696,-3.5903470516204834,-0.1300518661737442,-2.408067464828491,1.1246597915482273,25.302747798739706,1.0,0.0,0.33450932450154247,0.03524983301758766,0.7189692854881287,0.02841467224061489,0.2173660695552826,0.8921568627450981,1.0,0.0,0.32792372146818355,0.5
450.0,0.14506422029808164,0.9738276990185387,0.06744130698802031,0.8823529411764706,0.3320558420158565,2.9514083862304688,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.02134206053745889,1.0,-0.07285659021229776,-0.0939139290104873,0.10289628855333981,-0.07285659021229776,1.0,0.08273975824887018,-0.07113729805298256,-0.0939139290104873,0.08273975824887018,1.0,-0.0757805927511957,0.10289628855333981,-0.07113729805298256,-0.0757805927511957,1.0,1.0,1.0,1.0,1.0,-2.9514083862304688,-0.0020057724323123693,-2.4931414127349854,-0.16364695131778717,-0.2926141619682312,1.294497048198825,56.01235948179738,1.0,0.0,0.31906553401666526,0.01435020286589861,0.8037887215614319,0.035651225596666336,0.14620980620384216,0.8823529411764706,1.0,0.0,0.3320558420158565,0.5
500.0,0.0026496631326153874,0.9735550708833152,0.08831669792068525,0.8872549019607843,0.4126265679974145,0.00883657205849886,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.004517445852075743,1.0,-0.10355284342718729,-0.11751726102972569,-0.0957430553823167,-0.10355284342718729,1.0,0.1116201075940024,0.10410449314939746,-0.11751726102972569,0.1116201075940024,1.0,0.07398388398337538,-0.0957430553823167,0.10410449314939746,0.07398388398337538,1.0,1.0,1.0,1.0,1.0,-0.00883657205849886,-0.0005559679120779037,-0.005576209165155888,-0.000197664849110879,-0.002506729681044817,1.0422395467758179,28.951409568542147,1.0,0.0,0.33450902121908527,0.05213547125458717,0.675483226776123,0.023331617936491966,0.24904964864253998,0.8872549019607843,1.0,0.0,0.4126265679974145,0.5
