method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,method.ours.lambda_align,train.grad_clip,train.lr,train.weight_decay
ours,coord_03_train_grad_clip_021,coord:train.grad_clip,2,0.8799019607843137,0.012254901960784326,0.8799019607843137,0.8799019607843137,0.001,0.5039649001674528,2.6527690644866382e-05,0.041458676361109024
ours,coord_02_train_weight_decay_003,coord:train.weight_decay,2,0.8713235294117647,0.003676470588235281,0.8713235294117647,0.8713235294117647,0.001,1.0,2.6527690644866382e-05,0.041458676361109024
ours,coord_02_train_weight_decay_009,coord:train.weight_decay,2,0.8700980392156863,0.009803921568627416,0.8700980392156863,0.8700980392156863,0.001,1.0,2.6527690644866382e-05,0.031129456560456282
ours,coord_04_method_ours_lambda_align_016,coord:method.ours.lambda_align,2,0.8700980392156863,0.007352941176470562,0.8700980392156863,0.8700980392156863,0.005047737318427321,0.5039649001674528,2.6527690644866382e-05,0.041458676361109024
ours,coord_03_anchor,coord:train.grad_clip,2,0.8676470588235294,0.007352941176470562,0.8676470588235294,0.8676470588235294,0.001,1.0,2.6527690644866382e-05,0.041458676361109024
ours,coord_04_method_ours_lambda_align_010,coord:method.ours.lambda_align,2,0.8676470588235294,0.009803921568627472,0.8676470588235294,0.8676470588235294,2.8529473160537783e-05,0.5039649001674528,2.6527690644866382e-05,0.041458676361109024
ours,coord_03_train_grad_clip_022,coord:train.grad_clip,2,0.8651960784313726,0.004901960784313708,0.8651960784313726,0.8651960784313726,0.001,0.5039966201068447,2.6527690644866382e-05,0.041458676361109024
ours,coord_04_method_ours_lambda_align_015,coord:method.ours.lambda_align,2,0.8651960784313726,0.009803921568627472,0.8651960784313726,0.8651960784313726,0.007094332297035338,0.5039649001674528,2.6527690644866382e-05,0.041458676361109024
ours,coord_04_method_ours_lambda_align_017,coord:method.ours.lambda_align,2,0.8627450980392157,0.004901960784313764,0.8627450980392157,0.8627450980392157,0.0007644940430316359,0.5039649001674528,2.6527690644866382e-05,0.041458676361109024
ours,coord_02_train_weight_decay_014,coord:train.weight_decay,2,0.8615196078431373,0.006127450980392191,0.8615196078431373,0.8615196078431373,0.001,1.0,2.6527690644866382e-05,0.03285287566903027
ours,local_var_topk_013,local_var_topk,2,0.8615196078431373,0.008578431372549045,0.8615196078431373,0.8615196078431373,0.005047737318,0.5039649001674528,2.6527691e-05,0.041458676361
ours,coord_02_train_weight_decay_010,coord:train.weight_decay,2,0.8590686274509804,0.0036764705882353366,0.8590686274509804,0.8590686274509804,0.001,1.0,2.6527690644866382e-05,0.01569929631501374
ours,local_var_topk_009,local_var_topk,2,0.8590686274509804,0.011029411764705899,0.8590686274509804,0.8590686274509804,0.002523868659,0.5039649001674528,2.6527691e-05,0.031458676361
ours,coord_02_train_weight_decay_015,coord:train.weight_decay,2,0.857843137254902,0.0024509803921569095,0.857843137254902,0.857843137254902,0.001,1.0,2.6527690644866382e-05,0.001265792637898855
ours,coord_03_train_grad_clip_007,coord:train.grad_clip,2,0.857843137254902,0.012254901960784326,0.857843137254902,0.857843137254902,0.001,1.8833819174013477,2.6527690644866382e-05,0.041458676361109024
ours,coord_04_method_ours_lambda_align_002,coord:method.ours.lambda_align,2,0.857843137254902,0.009803921568627472,0.857843137254902,0.857843137254902,0.0002878913241153341,0.5039649001674528,2.6527690644866382e-05,0.041458676361109024
ours,coord_02_train_weight_decay_001,coord:train.weight_decay,2,0.8566176470588236,0.0036764705882353366,0.8566176470588236,0.8566176470588236,0.001,1.0,2.6527690644866382e-05,0.025761370357300944
ours,coord_02_train_weight_decay_007,coord:train.weight_decay,2,0.8566176470588236,0.011029411764705899,0.8566176470588236,0.8566176470588236,0.001,1.0,2.6527690644866382e-05,0.0011293853537124698
ours,coord_02_train_weight_decay_011,coord:train.weight_decay,2,0.8566176470588236,0.013480392156862753,0.8566176470588236,0.8566176470588236,0.001,1.0,2.6527690644866382e-05,0.043221282843119845
ours,coord_02_train_weight_decay_016,coord:train.weight_decay,2,0.8566176470588236,0.006127450980392191,0.8566176470588236,0.8566176470588236,0.001,1.0,2.6527690644866382e-05,0.04528612259904585
ours,coord_03_train_grad_clip_002,coord:train.grad_clip,2,0.8566176470588236,0.020833333333333315,0.8566176470588236,0.8566176470588236,0.001,0.6513832929507756,2.6527690644866382e-05,0.041458676361109024
ours,coord_03_train_grad_clip_005,coord:train.grad_clip,2,0.8566176470588236,0.01838235294117646,0.8566176470588236,0.8566176470588236,0.001,1.991165740762003,2.6527690644866382e-05,0.041458676361109024
ours,coord_04_method_ours_lambda_align_012,coord:method.ours.lambda_align,2,0.8566176470588236,0.008578431372549045,0.8566176470588236,0.8566176470588236,0.009330778085156435,0.5039649001674528,2.6527690644866382e-05,0.041458676361109024
ours,coord_01_train_lr_005,coord:train.lr,2,0.8553921568627452,0.012254901960784326,0.8553921568627452,0.8553921568627452,0.001,1.0,2.6527690644866382e-05,0.01
