step,train_step_loss,train_acc,train_loss,val_acc,val_loss,avg_intra_expert_coherence,expert_diversity_e0,expert_diversity_e1,expert_diversity_e2,expert_diversity_e3,expert_diversity_mean,expert_purity_e0,expert_purity_e1,expert_purity_e2,expert_purity_e3,expert_purity_mean,inter_expert_similarity,inter_expert_similarity_e0_e0,inter_expert_similarity_e0_e1,inter_expert_similarity_e0_e2,inter_expert_similarity_e0_e3,inter_expert_similarity_e1_e0,inter_expert_similarity_e1_e1,inter_expert_similarity_e1_e2,inter_expert_similarity_e1_e3,inter_expert_similarity_e2_e0,inter_expert_similarity_e2_e1,inter_expert_similarity_e2_e2,inter_expert_similarity_e2_e3,inter_expert_similarity_e3_e0,inter_expert_similarity_e3_e1,inter_expert_similarity_e3_e2,inter_expert_similarity_e3_e3,intra_expert_coherence_e0,intra_expert_coherence_e1,intra_expert_coherence_e2,intra_expert_coherence_e3,load_cv,load_max_min_ratio,overall_task_conflict_cos,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3,task_acc__glue_mrpc,task_conflict_t0_t0,task_grad_norm_cv,task_loss__glue_mrpc,utilization_ratio
50.0,0.40954045951366425,0.7729007633587787,0.49585976979654767,0.7769607843137255,0.4725363670060268,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.09035024646879204,1.0,0.0933560406887609,0.0,0.32761685113856887,0.0933560406887609,1.0,0.0,0.12112858698542245,0.0,0.0,1.0,0.0,0.32761685113856887,0.12112858698542245,0.0,1.0,1.0,1.0,1.0,1.0,0.7744591236114502,516258239746.09375,1.0,0.6881400919428059,0.3324830234050751,0.5162582397460938,0.0,0.15125875174999237,0.7769607843137255,1.0,0.0,0.4725363670060268,0.75
100.0,0.5029794871807098,0.7884405670665212,0.40035441367198593,0.7843137254901961,0.4162550192469588,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.06307754534891595,1.0,0.057955614606626245,0.0,-0.29991948196679935,0.057955614606626245,1.0,0.0,-0.13650140473332262,0.0,0.0,1.0,0.0,-0.29991948196679935,-0.13650140473332262,0.0,1.0,1.0,1.0,1.0,1.0,0.9907342802602911,624538660049.4385,1.0,0.6530007439501145,0.6245386600494385,0.3197430968284607,0.0,0.05571833625435829,0.7843137254901961,1.0,0.0,0.4162550192469588,0.5
150.0,0.12237155064940453,0.8846782988004362,0.28295003408768576,0.8725490196078431,0.31673113356989163,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05821843420316345,1.0,-0.25816986119776375,0.18514520731245945,0.0,-0.25816986119776375,1.0,0.42233525910428504,0.0,0.18514520731245945,0.42233525910428504,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0726665897766703,317.0868811635719,1.0,0.6399160483304192,0.6454444527626038,0.3478926122188568,0.00462734280154109,0.0020355444867163897,0.8725490196078431,1.0,0.0,0.31673113356989163,0.5
200.0,0.7081761062145233,0.8694111232279171,0.30787881060867855,0.8161764705882353,0.390607177064969,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.04312852408067256,1.0,0.2587711444840354,0.0,0.0,0.2587711444840354,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.053820553649697,620976805686.9507,1.0,0.6570619531706268,0.6209768056869507,0.37685203552246094,0.002171115018427372,0.0,0.8161764705882353,1.0,0.0,0.390607177064969,0.5
250.0,0.2631653072312474,0.9225736095965104,0.2071244125725175,0.8700980392156863,0.3330878197000577,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05834269829899561,1.0,0.40976967628449307,0.0,-0.14546941443653397,0.40976967628449307,1.0,0.0,0.08575592794601458,0.0,0.0,1.0,0.0,-0.14546941443653397,0.08575592794601458,0.0,1.0,1.0,1.0,1.0,1.0,1.017528772354126,578114390373.23,1.0,0.6715932009266872,0.57811439037323,0.4178621172904968,0.0,0.004023472312837839,0.8700980392156863,1.0,0.0,0.3330878197000577,0.5
300.0,0.4796334207057953,0.9353871319520175,0.1730214203454797,0.875,0.3222685875012897,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.007196246724066648,1.0,0.06559213117824483,0.0,-0.26913825793947943,0.06559213117824483,1.0,0.0,0.24672360710563448,0.0,0.0,1.0,0.0,-0.26913825793947943,0.24672360710563448,0.0,1.0,1.0,1.0,1.0,1.0,1.020100177532445,291.30776265763814,1.0,0.6688546246173335,0.582695722579956,0.4130467474460602,0.0022572248708456755,0.0020002753008157015,0.875,1.0,0.0,0.3222685875012897,0.5
350.0,0.21799789369106293,0.950381679389313,0.14071945037247371,0.9044117647058824,0.25052486095004356,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.055936622246346566,1.0,0.3356197334780794,0.0,0.0,0.3356197334780794,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0565249852508325,625917673110.9619,1.0,0.6551121017512154,0.6259176731109619,0.37050729990005493,0.0035751189570873976,0.0,0.9044117647058824,1.0,0.0,0.25052486095004356,0.5
400.0,0.4325205683708191,0.9419302071973827,0.15318956881883028,0.8602941176470589,0.34012859479452556,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05062395912750533,1.0,0.4293634201421045,0.0,0.0737470045669039,0.4293634201421045,1.0,0.0,-0.1993666699439764,0.0,0.0,1.0,0.0,0.0737470045669039,-0.1993666699439764,0.0,1.0,1.0,1.0,1.0,1.0,1.1080185046173925,568.6511030500408,1.0,0.6149953884236953,0.6740450263023376,0.32026222348213196,0.0011853402247652411,0.0045074280351400375,0.8602941176470589,1.0,0.0,0.34012859479452556,0.5
450.0,0.4110225010663271,0.9743729552889858,0.08083183408573108,0.9019607843137255,0.26208237959788394,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.07675606747711934,1.0,0.460536404862716,0.0,0.0,0.460536404862716,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.127992614746974,684515416622.1619,1.0,0.6145167198835635,0.6845154166221619,0.3154846727848053,0.0,0.0,0.9019607843137255,1.0,0.0,0.26208237959788394,0.5
500.0,0.05469507724046707,0.9670119956379498,0.10201309103776231,0.875,0.48255177218995343,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.09000171679076845,1.0,0.5400103007446106,0.0,0.0,0.5400103007446106,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0463414192199707,261.8438385189145,1.0,0.6411673099386925,0.6343380808830261,0.3479710519313812,0.015268330462276936,0.002422581659629941,0.875,1.0,0.0,0.48255177218995343,0.5
550.0,0.11568828718736768,0.9730098146128681,0.08883655759127577,0.8970588235294118,0.4165559722051302,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05118536852482417,1.0,0.30711221114894505,0.0,0.0,0.30711221114894505,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0989248333438932,842.5526160151422,1.0,0.6181011270074284,0.6787291169166565,0.3014521300792694,0.019013063982129097,0.0008055628859438002,0.8970588235294118,1.0,0.0,0.4165559722051302,0.5
600.0,0.10319731011986732,0.9683751363140676,0.08507648543087745,0.8651960784313726,0.474332820064424,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.005568781496986884,1.0,0.033412688981921304,0.0,0.0,0.033412688981921304,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.1150810191083562,283.07101098439983,1.0,0.622471388648538,0.6807304620742798,0.3121366500854492,0.0024048045743256807,0.004728033673018217,0.8651960784313726,1.0,0.0,0.474332820064424,0.5
650.0,0.12713629379868507,0.9814612868047983,0.08951496037973455,0.8676470588235294,0.6305957635665366,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.13090379136751554,1.0,0.6014536518596477,0.029716742554551735,0.0,0.6014536518596477,1.0,0.1542523537908939,0.0,0.029716742554551735,0.1542523537908939,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.070122480392456,658305287361.145,1.0,0.6208741664886475,0.658305287361145,0.32009050250053406,0.021604210138320923,0.0,0.8676470588235294,1.0,0.0,0.6305957635665366,0.5
700.0,0.3073186401161365,0.9866412213740458,0.04076392266357763,0.8725490196078431,0.4506173583526666,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.07276769695035708,1.0,0.43660618170214244,0.0,0.0,0.43660618170214244,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0361850261688232,627172410488.1287,1.0,0.6356191389700946,0.6271724104881287,0.3531087338924408,0.019718864932656288,0.0,0.8725490196078431,1.0,0.0,0.4506173583526666,0.5
