step,train_step_loss,train_acc,train_loss,val_acc,val_loss,alignment_reward,avg_intra_expert_coherence,expert_diversity_e0,expert_diversity_e1,expert_diversity_e2,expert_diversity_e3,expert_diversity_mean,expert_purity_e0,expert_purity_e1,expert_purity_e2,expert_purity_e3,expert_purity_mean,inter_expert_similarity,inter_expert_similarity_e0_e0,inter_expert_similarity_e0_e1,inter_expert_similarity_e0_e2,inter_expert_similarity_e0_e3,inter_expert_similarity_e1_e0,inter_expert_similarity_e1_e1,inter_expert_similarity_e1_e2,inter_expert_similarity_e1_e3,inter_expert_similarity_e2_e0,inter_expert_similarity_e2_e1,inter_expert_similarity_e2_e2,inter_expert_similarity_e2_e3,inter_expert_similarity_e3_e0,inter_expert_similarity_e3_e1,inter_expert_similarity_e3_e2,inter_expert_similarity_e3_e3,intra_expert_coherence_e0,intra_expert_coherence_e1,intra_expert_coherence_e2,intra_expert_coherence_e3,l_conflict,l_conflict_e0,l_conflict_e1,l_conflict_e2,l_conflict_e3,load_cv,load_max_min_ratio,overall_task_conflict_cos,router_conflict_grad_l2,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3,task_acc__glue_cola,task_conflict_t0_t0,task_grad_norm_cv,task_loss__glue_cola,utilization_ratio
100.0,0.4234325587749481,0.7893518518518519,0.4729909900299929,0.7670182166826462,0.5528243698715938,0.0066501484252512455,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.036807954429641236,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2208477265778474,0.0,0.0,0.2208477265778474,1.0,1.0,1.0,1.0,1.0,-0.0066501484252512455,-0.0,-0.0,-0.003184259869158268,-0.0034658885560929775,0.9897412061691284,498095393180.84717,1.0,0.0,0.6916579953318931,0.005143639165908098,0.0,0.49809539318084717,0.49676093459129333,0.7670182166826462,1.0,0.0,0.5528243698715938,0.5
200.0,0.6315113231539726,0.8333333333333334,0.39947247512086675,0.7996164908916586,0.4844723961344271,0.00837814249098301,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.012669523345552382,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0760171400733143,0.0,0.0,0.0760171400733143,1.0,1.0,1.0,1.0,1.0,-0.00837814249098301,-0.0,-0.0,-0.003949498757719994,-0.004428643733263016,0.9920784831047058,502931118011.4746,1.0,0.0,0.6910715839206772,0.004018117673695087,0.0,0.5029311180114746,0.49305078387260437,0.7996164908916586,1.0,0.0,0.4844723961344271,0.5
300.0,0.2918328046798706,0.8622685185185185,0.36732857191452273,0.8072866730584851,0.46706808400763705,0.006608123891055584,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.029681083417939753,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.17808650050763852,0.0,0.0,0.17808650050763852,1.0,1.0,1.0,1.0,1.0,-0.006608123891055584,-0.0,-0.0,-0.003305342048406601,-0.0033027816098183393,0.9895722270011902,499394744634.6283,1.0,0.0,0.6910105396208576,0.0052359518595039845,0.0,0.4993947446346283,0.4953693449497223,0.8072866730584851,1.0,0.0,0.46706808400763705,0.5
400.0,0.11068198084831238,0.8043981481481481,0.5085696085804591,0.7641418983700863,0.6663164906485965,0.0029668163042515516,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.005435775825377812,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.032614654952266876,0.0,0.0,0.032614654952266876,1.0,1.0,1.0,1.0,1.0,-0.0029668163042515516,-8.114188676699996e-05,-0.0,-0.0014174317475408316,-0.0014682426117360592,0.904712401697063,511311590671.5393,1.0,0.0,0.6903249671109456,0.0522785522043705,0.0,0.5113115906715393,0.4364100396633148,0.7641418983700863,1.0,0.0,0.6663164906485965,0.5
500.0,0.27043747156858444,0.8981481481481481,0.2810021534010216,0.8149568552253116,0.4452100664264325,0.007014531642198563,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.075588026731003,1.0,0.0,0.08607748601257113,0.17698701435791198,0.0,1.0,0.0,0.0,0.08607748601257113,0.0,1.0,0.19046366001553486,0.17698701435791198,0.0,0.19046366001553486,1.0,1.0,1.0,1.0,1.0,-0.007014531642198563,-0.0001296568661928177,-0.0,-0.003616737201809883,-0.003268137574195862,0.8787288214291546,484041780233.3832,1.0,0.0,0.6902426946426055,0.06350778043270111,0.0,0.4840417802333832,0.45245054364204407,0.8149568552253116,1.0,0.0,0.4452100664264325,0.5
600.0,0.45791567862033844,0.8819444444444444,0.3481401251628995,0.7996164908916586,0.618533009317506,0.03711675480008125,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.024232314308168895,1.0,0.0,0.05573354312170626,0.006203157165367998,0.0,1.0,0.0,0.0,0.05573354312170626,0.0,1.0,0.08345718556193911,0.006203157165367998,0.0,0.08345718556193911,1.0,1.0,1.0,1.0,1.0,-0.03711675480008125,-0.011657210998237133,-0.0,-0.00826631672680378,-0.017193228006362915,0.6106765866279602,402500271797.1802,1.0,0.0,0.6906781429755264,0.33564186096191406,0.0,0.26185786724090576,0.4025002717971802,0.7996164908916586,1.0,0.0,0.618533009317506,0.75
700.0,0.27214277535676956,0.9166666666666666,0.24078920442197058,0.8178331735378715,0.5140450340272351,0.028107289224863052,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.018469961412019877,1.0,0.0,0.11927864917217762,-0.06946139727094568,0.0,1.0,0.0,0.0,0.11927864917217762,0.0,1.0,0.061002516570887316,-0.06946139727094568,0.0,0.061002516570887316,1.0,1.0,1.0,1.0,1.0,-0.028107289224863052,-0.008053241297602654,-0.0,-0.0063843191601336,-0.013669729232788086,0.6137505539507004,388658076524.7345,1.0,0.0,0.6895824073030759,0.3886580765247345,0.0,0.24977876245975494,0.3615630865097046,0.8178331735378715,1.0,0.0,0.5140450340272351,0.75
800.0,0.05012486781924963,0.9074074074074074,0.24695934245742304,0.8178331735378715,0.5622053978343805,0.0044756075367331505,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.007566410015443708,1.0,0.0,0.11147198451201845,-0.1795580492228342,0.0,1.0,0.0,0.0,0.11147198451201845,0.0,1.0,0.022687604618153494,-0.1795580492228342,0.0,0.022687604618153494,1.0,1.0,1.0,1.0,1.0,-0.0044756075367331505,-0.0018813003553077579,-0.0,-0.0002213130210293457,-0.002372993854805827,0.8361979527709428,494261413812.6373,1.0,0.0,0.6884034576031985,0.41508299112319946,0.0,0.09065545350313187,0.49426141381263733,0.8178331735378715,1.0,0.0,0.5622053978343805,0.5
900.0,0.5561977028846741,0.9270833333333334,0.19930410010878136,0.8293384467881112,0.46829137227244,0.04650164395570755,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.03178362168323399,1.0,0.0,0.026915906852469324,-0.09704749322915132,0.0,1.0,0.0,0.0,0.026915906852469324,0.0,1.0,0.26083331647608593,-0.09704749322915132,0.0,0.26083331647608593,1.0,1.0,1.0,1.0,1.0,-0.04650164395570755,-0.02265940234065056,-0.0,-0.012425548397004604,-0.011416692286729813,0.610251711576973,399321228265.7623,1.0,0.0,0.6896071415733857,0.39932122826576233,0.0,0.26010969281196594,0.3405691981315613,0.8293384467881112,1.0,0.0,0.46829137227244,0.75
1000.0,0.742216557264328,0.9282407407407407,0.17082839869652633,0.8398849472674976,0.4302219438232538,0.28609704971313477,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.03135644424755113,1.0,0.0,0.1352967740676757,-0.17769594477569703,0.0,1.0,0.0,0.0,0.1352967740676757,0.0,1.0,0.2305378361933281,-0.17769594477569703,0.0,0.2305378361933281,1.0,1.0,1.0,1.0,1.0,-0.28609704971313477,-0.09738540649414062,-0.0,-0.08227495849132538,-0.10643666982650757,0.5913489460945129,368134200572.9675,1.0,0.0,0.6890088583799017,0.36813420057296753,0.0,0.34964802861213684,0.28221774101257324,0.8398849472674976,1.0,0.0,0.4302219438232538,0.75
